epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,2373.77,0.61586,2.46345,0.17586,0.55561,0.94879,0.80896,0.54589,0.6592,0.51209,0.53083,0.29594,0.28582,0.17428,1.01071,4.93831,0.33225,1.6334,1.22643,0.0074755,0.0074755,0.0074755
53,2419.99,0.61266,2.41141,0.17043,0.54679,0.94467,0.87682,0.55095,0.65963,0.50304,0.58174,0.31297,0.30358,0.18287,1.0819,4.98483,0.26049,1.70459,1.289,0.007426,0.007426,0.007426
54,2465.2,0.61556,2.47312,0.16928,0.55095,0.94573,0.898,0.5389,0.69975,0.53536,0.59861,0.3181,0.30638,0.17884,0.9885,4.9174,0.38999,1.52079,1.21909,0.0073765,0.0073765,0.0073765
55,2512.34,0.62057,2.4487,0.17289,0.5491,0.94788,0.78542,0.58349,0.6504,0.50473,0.53469,0.34535,0.3015,0.18115,1.01042,4.85896,0.27898,1.67696,1.25221,0.007327,0.007327,0.007327
56,2560.69,0.60515,2.43541,0.17395,0.54153,0.93846,0.80597,0.5466,0.66272,0.52109,0.52111,0.30155,0.29684,0.1831,0.97653,4.89186,0.30872,1.64937,1.19777,0.0072775,0.0072775,0.0072775
57,2609.49,0.61041,2.42891,0.17279,0.54885,0.94323,0.87064,0.53973,0.69726,0.53872,0.56796,0.3073,0.30687,0.18909,0.98535,4.93322,0.37974,1.619,1.22186,0.007228,0.007228,0.007228
58,2657.52,0.605,2.40306,0.17177,0.5408,0.94302,0.81562,0.56292,0.67414,0.51819,0.52882,0.31903,0.31108,0.19068,1.01754,4.92114,0.35975,1.67596,1.23021,0.0071785,0.0071785,0.0071785
59,2703.06,0.59963,2.38526,0.16402,0.52763,0.93879,0.82283,0.56038,0.63332,0.49945,0.52536,0.30935,0.30261,0.18717,0.94984,4.92441,0.32136,1.72603,1.18457,0.007129,0.007129,0.007129
60,2750.04,0.59448,2.37918,0.16573,0.52363,0.93707,0.8329,0.55993,0.64988,0.51078,0.55884,0.30749,0.30668,0.19102,1.04103,4.96974,0.22848,1.78784,1.26077,0.0070795,0.0070795,0.0070795
61,2795.94,0.60122,2.33935,0.16263,0.53493,0.93883,0.8461,0.5293,0.65082,0.50381,0.57778,0.31659,0.31516,0.19928,1.01217,4.92664,0.35306,1.75826,1.2271,0.00703,0.00703,0.00703
62,2841.42,0.59936,2.35907,0.16195,0.53516,0.93479,0.83314,0.56304,0.66686,0.52369,0.57171,0.31946,0.31113,0.19672,1.03548,4.94023,0.2303,1.72758,1.26486,0.0069805,0.0069805,0.0069805
63,2890.85,0.59529,2.37607,0.17057,0.52422,0.93754,0.83143,0.53743,0.68819,0.53651,0.55577,0.30303,0.30236,0.18521,0.97223,4.86473,0.32584,1.61472,1.21058,0.006931,0.006931,0.006931
64,2936.75,0.58985,2.32559,0.16341,0.52683,0.93444,0.78505,0.5352,0.64157,0.50403,0.52522,0.31233,0.31174,0.19413,1.02348,4.95909,0.37365,1.77458,1.26389,0.0068815,0.0068815,0.0068815
65,2984.17,0.59294,2.2835,0.16612,0.52403,0.93439,0.84758,0.5392,0.68111,0.5323,0.53283,0.31048,0.28587,0.17865,0.98169,4.95326,0.34109,1.61786,1.21495,0.006832,0.006832,0.006832
66,3029.42,0.5881,2.31854,0.16379,0.52315,0.93412,0.86119,0.54823,0.65003,0.5123,0.57471,0.30275,0.30223,0.1888,0.9703,5.00155,0.28639,1.65011,1.18763,0.0067825,0.0067825,0.0067825
67,3076.77,0.58273,2.29409,0.16152,0.51352,0.93154,0.86301,0.54461,0.61831,0.49018,0.55674,0.30909,0.28817,0.1826,1.0838,5.04594,0.272,1.83201,1.2818,0.006733,0.006733,0.006733
68,3125.96,0.58557,2.35733,0.16334,0.51454,0.93116,0.8038,0.55355,0.62201,0.48429,0.53768,0.31695,0.30692,0.18785,1.03346,4.90999,0.28808,1.79835,1.25024,0.0066835,0.0066835,0.0066835
69,3171.14,0.57857,2.26437,0.15555,0.51484,0.92864,0.85618,0.56271,0.67988,0.53249,0.56404,0.30989,0.31432,0.19577,0.98579,4.9492,0.26302,1.67533,1.21688,0.006634,0.006634,0.006634
70,3215.81,0.57184,2.21635,0.15734,0.50307,0.92318,0.8424,0.56154,0.66826,0.52337,0.5457,0.31816,0.30807,0.1904,0.98925,4.82373,0.30122,1.62731,1.23139,0.0065845,0.0065845,0.0065845
71,3260.22,0.57159,2.22397,0.16146,0.50301,0.92729,0.83694,0.54877,0.6941,0.54987,0.52214,0.32256,0.30424,0.1909,0.97004,5.01162,0.34107,1.62675,1.20849,0.006535,0.006535,0.006535
72,3304.82,0.57842,2.28954,0.15539,0.51037,0.93006,0.87916,0.54206,0.67087,0.52316,0.57791,0.30264,0.30667,0.18941,1.00213,4.92793,0.2913,1.64566,1.23205,0.0064855,0.0064855,0.0064855
73,3349.17,0.57259,2.249,0.162,0.51105,0.92584,0.82245,0.56241,0.69822,0.5509,0.58674,0.29957,0.3188,0.19589,0.90461,4.97941,0.30879,1.58921,1.15095,0.006436,0.006436,0.006436
74,3394.25,0.56704,2.23652,0.1562,0.50362,0.92739,0.85215,0.56206,0.73655,0.55744,0.55467,0.30692,0.31673,0.19837,1.00597,4.90971,0.36832,1.51411,1.21999,0.0063865,0.0063865,0.0063865
75,3442.36,0.56557,2.26094,0.15438,0.49822,0.92121,0.85879,0.53845,0.70196,0.52978,0.56864,0.30256,0.30902,0.19023,1.09071,4.92469,0.33283,1.55287,1.3568,0.006337,0.006337,0.006337
76,3486.97,0.57087,2.21738,0.15237,0.50107,0.92732,0.80788,0.55206,0.68433,0.52457,0.52021,0.31076,0.29886,0.18889,1.03333,4.86987,0.35424,1.63014,1.28077,0.0062875,0.0062875,0.0062875
77,3531.37,0.57031,2.19371,0.15053,0.49354,0.9237,0.80513,0.55369,0.67516,0.51974,0.52728,0.32776,0.31575,0.19616,1.00912,4.78463,0.31674,1.60758,1.21573,0.006238,0.006238,0.006238
78,3575.9,0.57164,2.21704,0.15567,0.49749,0.92402,0.85668,0.56914,0.68967,0.53224,0.56827,0.33043,0.32962,0.20468,0.99554,4.82762,0.3334,1.63037,1.20906,0.0061885,0.0061885,0.0061885
79,3620.68,0.5721,2.25222,0.15522,0.49616,0.92298,0.77143,0.56563,0.63836,0.49958,0.51729,0.32183,0.29754,0.186,1.04266,4.9182,0.30608,1.64321,1.31421,0.006139,0.006139,0.006139
80,3667.23,0.55814,2.17792,0.1507,0.48719,0.92054,0.85648,0.54163,0.63717,0.50468,0.55972,0.30489,0.30139,0.1927,1.06991,4.99575,0.37363,1.74772,1.30185,0.0060895,0.0060895,0.0060895
81,3714.74,0.55557,2.18012,0.15327,0.48683,0.9241,0.82921,0.55771,0.62351,0.49249,0.54,0.30623,0.29743,0.18688,1.09169,5.02302,0.34393,1.78293,1.32548,0.00604,0.00604,0.00604
82,3764.23,0.55466,2.18254,0.15792,0.49211,0.9201,0.79952,0.56662,0.6332,0.49873,0.56602,0.29249,0.29574,0.18979,1.09577,4.91057,0.30868,1.77552,1.34624,0.0059905,0.0059905,0.0059905
83,3813.27,0.55009,2.1934,0.15102,0.48236,0.92005,0.84878,0.55155,0.65074,0.51159,0.55475,0.3112,0.3133,0.19766,1.09519,5.02734,0.35179,1.74861,1.31134,0.005941,0.005941,0.005941
84,3860.83,0.54676,2.0759,0.14833,0.48014,0.9139,0.83796,0.54572,0.62966,0.49538,0.57098,0.31421,0.30029,0.18748,1.06723,4.93649,0.3773,1.72712,1.31449,0.0058915,0.0058915,0.0058915
85,3909.19,0.55136,2.13291,0.15089,0.48397,0.91685,0.82753,0.55576,0.65197,0.50478,0.55102,0.30907,0.29822,0.18881,1.07945,5.02315,0.3093,1.71955,1.27967,0.005842,0.005842,0.005842
86,3955.32,0.55568,2.13177,0.14924,0.48748,0.92032,0.82426,0.5566,0.63706,0.49929,0.52824,0.31568,0.30677,0.19355,1.05903,4.89658,0.29781,1.7709,1.2751,0.0057925,0.0057925,0.0057925
87,4003.83,0.54973,2.14165,0.15376,0.48511,0.91804,0.82339,0.55193,0.64562,0.5034,0.53542,0.30739,0.2969,0.19124,1.09034,4.87015,0.32303,1.74422,1.30723,0.005743,0.005743,0.005743
88,4051.47,0.54657,2.11942,0.14836,0.47586,0.91374,0.80875,0.56579,0.6485,0.50811,0.53767,0.31959,0.30233,0.19134,1.04552,4.85886,0.30871,1.67202,1.28445,0.0056935,0.0056935,0.0056935
89,4101.76,0.54421,2.09697,0.14303,0.47383,0.91157,0.79134,0.5831,0.67615,0.51633,0.51091,0.31745,0.29382,0.18981,1.03469,4.80902,0.26602,1.68047,1.25433,0.005644,0.005644,0.005644
90,4147.79,0.55013,2.14081,0.14469,0.48223,0.91476,0.80027,0.5558,0.63307,0.50018,0.53169,0.30471,0.29526,0.18935,1.04509,4.83654,0.29362,1.75552,1.26981,0.0055945,0.0055945,0.0055945
91,4192.59,0.54973,2.12453,0.15107,0.48571,0.91773,0.80366,0.56527,0.67235,0.53366,0.52148,0.32426,0.32506,0.20845,1.02273,4.82788,0.30885,1.7736,1.26256,0.005545,0.005545,0.005545
92,4237.95,0.54646,2.10572,0.14595,0.47828,0.91496,0.81485,0.57303,0.66224,0.52482,0.52302,0.32191,0.3096,0.19873,0.98835,4.85595,0.31421,1.73512,1.21945,0.0054955,0.0054955,0.0054955
93,4286.45,0.54931,2.11899,0.1471,0.47922,0.91772,0.83093,0.56957,0.64384,0.50468,0.54308,0.32377,0.30877,0.19295,1.02558,4.89001,0.30012,1.702,1.2665,0.005446,0.005446,0.005446
94,4331.25,0.54092,2.10434,0.14928,0.47215,0.91407,0.85624,0.54488,0.65819,0.52793,0.56579,0.31516,0.32332,0.20876,1.02706,4.88118,0.32411,1.74511,1.26806,0.0053965,0.0053965,0.0053965
95,4376.21,0.53713,2.05197,0.14371,0.46835,0.91117,0.80505,0.57373,0.63016,0.49892,0.52706,0.3234,0.29321,0.18834,1.02349,4.93137,0.34327,1.74579,1.2466,0.005347,0.005347,0.005347
96,4421.2,0.54402,2.10787,0.14729,0.4769,0.91469,0.84777,0.56393,0.64444,0.51538,0.54216,0.31355,0.30812,0.19927,1.0295,4.93436,0.25707,1.7686,1.25931,0.0052975,0.0052975,0.0052975
97,4466.09,0.53725,2.04632,0.14323,0.46875,0.90959,0.82919,0.54655,0.62687,0.49951,0.56116,0.31446,0.29849,0.18973,1.00855,4.86855,0.38207,1.71319,1.23781,0.005248,0.005248,0.005248
98,4510.93,0.53534,2.02441,0.14334,0.4673,0.90891,0.84468,0.54851,0.64549,0.50964,0.57002,0.31559,0.31059,0.19949,1.01364,4.8344,0.25057,1.72133,1.23369,0.0051985,0.0051985,0.0051985
99,4556.1,0.53033,2.07264,0.14388,0.46075,0.90806,0.82763,0.57034,0.66699,0.53204,0.55033,0.31968,0.32279,0.20986,1.03458,4.89632,0.26688,1.74764,1.26738,0.005149,0.005149,0.005149
100,4600.86,0.52798,2.02968,0.1417,0.46375,0.9069,0.83036,0.57631,0.65968,0.52129,0.53239,0.32247,0.30573,0.1979,1.01272,4.87389,0.28584,1.70943,1.24904,0.0050995,0.0050995,0.0050995
101,4645.73,0.53144,2.03176,0.14343,0.46655,0.91312,0.81281,0.59054,0.64775,0.5117,0.52974,0.32796,0.30822,0.19634,1.02355,4.84805,0.26283,1.78296,1.24713,0.00505,0.00505,0.00505
102,4690.63,0.52778,2.03623,0.14389,0.4583,0.90564,0.85456,0.58924,0.68791,0.54607,0.56237,0.3354,0.33755,0.21963,1.01402,4.77385,0.26613,1.70359,1.24957,0.0050005,0.0050005,0.0050005
103,4735.43,0.528,2.04409,0.14257,0.45929,0.90674,0.82283,0.57014,0.66392,0.52605,0.55521,0.31055,0.31383,0.20409,1.00702,4.78335,0.28853,1.72446,1.23953,0.004951,0.004951,0.004951
104,4779.95,0.53051,2.04914,0.14301,0.46444,0.90899,0.8443,0.56878,0.6553,0.51931,0.57949,0.3205,0.32177,0.20425,1.01286,4.82493,0.2583,1.73902,1.26747,0.0049015,0.0049015,0.0049015
105,4824.95,0.52756,2.00974,0.14487,0.45941,0.90563,0.83975,0.55156,0.64059,0.51259,0.56454,0.32152,0.30973,0.1997,1.04131,4.90057,0.28967,1.7004,1.28759,0.004852,0.004852,0.004852
106,4869.55,0.52072,1.98463,0.13876,0.45629,0.90356,0.80745,0.54719,0.66455,0.52237,0.54506,0.31845,0.30941,0.20015,1.04766,4.88567,0.32051,1.65115,1.28683,0.0048025,0.0048025,0.0048025
107,4914.89,0.52075,1.97852,0.14376,0.45905,0.90595,0.82534,0.56012,0.66545,0.5168,0.54579,0.30892,0.30279,0.19369,1.07327,4.94844,0.29802,1.62035,1.33134,0.004753,0.004753,0.004753
108,4963.76,0.526,1.99646,0.14215,0.45682,0.90707,0.81167,0.57056,0.66004,0.52012,0.54866,0.32422,0.30949,0.19769,1.05815,4.81502,0.27984,1.64778,1.34317,0.0047035,0.0047035,0.0047035
109,5012.03,0.5229,1.97905,0.13972,0.45361,0.9034,0.7912,0.56633,0.62431,0.49686,0.52367,0.30516,0.29319,0.18822,1.04168,4.81751,0.27639,1.72808,1.29838,0.004654,0.004654,0.004654
110,5060.03,0.51631,1.98983,0.13715,0.4501,0.90122,0.85068,0.56235,0.67749,0.53739,0.57208,0.33083,0.32378,0.20909,1.02394,4.83667,0.38118,1.64717,1.27996,0.0046045,0.0046045,0.0046045
111,5105.34,0.51645,2.00718,0.1418,0.45046,0.90404,0.83186,0.56567,0.66208,0.52612,0.56057,0.33373,0.31358,0.19973,0.98998,4.82319,0.30404,1.71582,1.22784,0.004555,0.004555,0.004555
112,5150.48,0.50856,1.92673,0.13723,0.44562,0.9009,0.81057,0.55975,0.67006,0.54057,0.5559,0.33427,0.33209,0.21799,0.97354,4.86754,0.30674,1.7554,1.21204,0.0045055,0.0045055,0.0045055
113,5196.06,0.51603,1.94127,0.14037,0.44616,0.90408,0.84002,0.54556,0.68223,0.54693,0.55573,0.32365,0.32872,0.21821,0.98144,4.85191,0.31816,1.73365,1.24198,0.004456,0.004456,0.004456
114,5241.41,0.51015,1.99086,0.13814,0.4492,0.90085,0.8392,0.55146,0.64599,0.51526,0.56449,0.31352,0.3076,0.19759,0.97824,4.8393,0.321,1.72416,1.24019,0.0044065,0.0044065,0.0044065
115,5286.51,0.50882,1.94743,0.13828,0.44434,0.89982,0.84537,0.53826,0.63407,0.50681,0.55365,0.30665,0.29631,0.19433,1.03253,4.86566,0.33715,1.7788,1.28997,0.004357,0.004357,0.004357
116,5331.61,0.5065,1.91071,0.13601,0.44547,0.90243,0.80037,0.57053,0.63804,0.51002,0.51968,0.31623,0.29624,0.19326,0.99884,4.80502,0.27594,1.73941,1.25914,0.0043075,0.0043075,0.0043075
