epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,492.18,0.39406,1.74338,0.37635,0.36158,0.94469,0.99921,0.95,0.98464,0.9578,0.99395,0.945,0.97419,0.8188,0.26306,0.80438,0.19369,0.2119,0.80374,0.000283085,0.000283085,0.000283085
83,498.973,0.39887,1.89515,0.37222,0.3763,0.94501,0.9958,0.97,0.98779,0.96695,0.98963,0.945,0.97773,0.80455,0.25327,0.83842,0.19137,0.22288,0.79967,0.000268938,0.000268938,0.000268938
84,507.218,0.39429,1.81286,0.37528,0.36489,0.95035,0.98977,0.96732,0.98789,0.96397,0.98951,0.94309,0.97792,0.8255,0.26287,0.79566,0.19394,0.22294,0.80519,0.000254791,0.000254791,0.000254791
85,517.128,0.38561,1.83245,0.37156,0.36189,0.93904,0.99267,0.95,0.98789,0.96402,0.98627,0.945,0.98568,0.83252,0.25166,0.7883,0.19467,0.22106,0.80088,0.000240644,0.000240644,0.000240644
86,524.724,0.38603,1.72367,0.37324,0.35206,0.94215,0.97977,0.96858,0.98805,0.96308,0.97472,0.96374,0.98552,0.81906,0.2595,0.81769,0.19194,0.22227,0.80011,0.000226497,0.000226497,0.000226497
87,531.649,0.37821,1.72751,0.36628,0.345,0.93788,0.97975,0.96788,0.98798,0.95671,0.9747,0.96308,0.98021,0.82031,0.27519,0.82268,0.19141,0.21829,0.81148,0.000212349,0.000212349,0.000212349
88,537.303,0.38514,1.71871,0.36671,0.34179,0.94578,0.99481,0.95863,0.98907,0.96698,0.99068,0.94,0.97907,0.83073,0.25394,0.79292,0.18996,0.21046,0.80115,0.000198202,0.000198202,0.000198202
89,545.95,0.39772,1.7688,0.35874,0.3658,0.94997,0.99271,0.96,0.98903,0.96549,0.98229,0.95,0.98159,0.82123,0.25575,0.80152,0.18678,0.2109,0.80208,0.000184055,0.000184055,0.000184055
90,554.032,0.38254,1.68193,0.35953,0.35512,0.93828,0.98965,0.95635,0.98862,0.96636,0.98798,0.94,0.98109,0.8343,0.25275,0.77396,0.18301,0.21543,0.80027,0.000169908,0.000169908,0.000169908
91,564.389,0.26108,0.90268,0.21078,0.27092,0.85158,0.98958,0.94925,0.98645,0.95981,0.97439,0.95103,0.97825,0.80901,0.26207,0.82805,0.16422,0.22547,0.80056,0.000155761,0.000155761,0.000155761
92,572.303,0.25387,0.90236,0.19331,0.25368,0.84847,0.96858,0.97,0.98548,0.9612,0.96359,0.965,0.98354,0.81499,0.25523,0.77362,0.16043,0.22034,0.80182,0.000141614,0.000141614,0.000141614
93,578.03,0.24763,0.84378,0.17675,0.24307,0.83803,0.98374,0.96,0.98617,0.96185,0.97808,0.955,0.98435,0.8085,0.26034,0.7929,0.14767,0.21561,0.80454,0.000127467,0.000127467,0.000127467
94,584.778,0.24056,0.82869,0.16917,0.23844,0.83366,0.97867,0.96,0.98604,0.95974,0.97357,0.955,0.98424,0.81574,0.25513,0.77144,0.13612,0.21767,0.80269,0.00011332,0.00011332,0.00011332
95,589.565,0.24167,0.80362,0.16045,0.23768,0.83685,0.99475,0.94823,0.98718,0.96099,0.98951,0.94323,0.97911,0.83057,0.25224,0.75034,0.13062,0.2173,0.79808,9.91726e-05,9.91726e-05,9.91726e-05
96,595.38,0.24284,0.81351,0.15325,0.23532,0.84698,0.99484,0.945,0.98727,0.96062,0.98958,0.94,0.98517,0.8323,0.24762,0.74226,0.12104,0.20816,0.79787,8.50255e-05,8.50255e-05,8.50255e-05
97,601.444,0.2363,0.76416,0.14438,0.22725,0.83931,0.99836,0.945,0.98728,0.9614,0.99297,0.94,0.98502,0.83839,0.25038,0.73196,0.11721,0.20475,0.7998,7.08784e-05,7.08784e-05,7.08784e-05
98,608.213,0.23849,0.79715,0.14091,0.2305,0.82825,0.99474,0.94587,0.98755,0.96236,0.98948,0.94087,0.98526,0.82859,0.24915,0.74681,0.11228,0.20835,0.80037,5.67313e-05,5.67313e-05,5.67313e-05
99,613.684,0.23228,0.78023,0.14004,0.22078,0.83207,0.99474,0.94544,0.9874,0.9632,0.98948,0.94044,0.98522,0.83566,0.24232,0.72794,0.11009,0.20806,0.79696,4.25842e-05,4.25842e-05,4.25842e-05
100,620.573,0.23093,0.7596,0.13783,0.22591,0.83615,0.9962,0.945,0.98799,0.96318,0.99093,0.94,0.98554,0.83497,0.2428,0.73478,0.10882,0.20573,0.79671,2.84371e-05,2.84371e-05,2.84371e-05
